t,Vr-->,z_V,0,1,2,3,4,5,6
0.252641,60,305.004,305.006,304.999,304.989,305.005,305.96,313.524,
0.252641,65,305.004,305.006,304.999,304.989,305.005,305.96,313.524,
0.252641,70,305.004,305.006,304.999,304.989,305.005,305.96,313.524,
0.252641,75,305.004,305.006,304.999,304.989,305.005,305.96,313.524,
0.252641,80,305.004,305.006,304.999,304.989,305.005,305.96,313.524,
0.252641,85,305.004,305.006,304.999,304.989,305.005,305.96,313.524,
0.252641,90,305.004,305.006,304.999,304.989,305.005,305.96,313.524,
0.252641,95,305.004,305.006,304.999,304.989,305.005,305.96,313.524,
0.252641,100,305.004,305.006,304.999,304.989,305.005,305.96,313.524,

t_Vr-->,z_V,0,1,2,3,4,5,6
0.334766,5,0.000647608,0.000647608,0.000647608,0.000647608,0.000647608,0.000647608,0.000647607,
0.334766,10,2.14378e-05,2.14378e-05,2.14378e-05,2.14378e-05,2.14378e-05,2.14378e-05,2.14378e-05,
0.334766,15,4.75762e-07,4.75762e-07,4.75762e-07,4.75762e-07,4.75762e-07,4.75762e-07,4.75762e-07,
0.334766,20,7.93663e-09,7.93663e-09,7.93663e-09,7.93663e-09,7.93663e-09,7.93663e-09,7.93663e-09,
0.334766,25,1.06037e-10,1.06037e-10,1.06037e-10,1.06037e-10,1.06037e-10,1.06037e-10,1.06037e-10,
0.334766,30,1.18145e-12,1.18145e-12,1.18145e-12,1.18145e-12,1.18145e-12,1.18145e-12,1.18145e-12,
0.334766,35,1.129e-14,1.129e-14,1.129e-14,1.129e-14,1.129e-14,1.129e-14,1.129e-14,
0.334766,40,9.44456e-17,9.44456e-17,9.44456e-17,9.44456e-17,9.44456e-17,9.44456e-17,9.44456e-17,
0.334766,45,7.02341e-19,7.02341e-19,7.02341e-19,7.02341e-19,7.02341e-19,7.02341e-19,7.02341e-19,
0.334766,50,4.6972e-21,4.6972e-21,4.6972e-21,4.6972e-21,4.6972e-21,4.6972e-21,4.6972e-21,
0.334766,55,2.85023e-23,2.85023e-23,2.85023e-23,2.85023e-23,2.85023e-23,2.85023e-23,2.85023e-23,
0.334766,60,1.57967e-25,1.57967e-25,1.57967e-25,1.57967e-25,1.57967e-25,1.57967e-25,1.57967e-25,
0.334766,65,8.0366e-28,8.0366e-28,8.0366e-28,8.0366e-28,8.0366e-28,8.0366e-28,8.0366e-28,
0.334766,70,3.7671e-30,3.7671e-30,3.7671e-30,3.7671e-30,3.7671e-30,3.7671e-30,3.7671e-30,
0.334766,75,1.63119e-32,1.63119e-32,1.63119e-32,1.63119e-32,1.63119e-32,1.63119e-32,1.63119e-32,
0.334766,80,6.53545e-35,6.53545e-35,6.53545e-35,6.53545e-35,6.53545e-35,6.53545e-35,6.53545e-35,
0.334766,85,2.42468e-37,2.42468e-37,2.42468e-37,2.42468e-37,2.42468e-37,2.42468e-37,2.42468e-37,
0.334766,90,8.32938e-40,8.32938e-40,8.32938e-40,8.32938e-40,8.32938e-40,8.32938e-40,8.32938e-40,
0.334766,95,2.647e-42,2.647e-42,2.647e-42,2.647e-42,2.647e-42,2.647e-42,2.647e-42,
0.334766,100,7.76758e-45,7.76758e-45,7.76758e-45,7.76758e-45,7.76758e-45,7.76758e-45,7.76758e-45,

0.334766,5,305.007,305.011,304.998,304.986,305.058,306.4,314.468,
0.334766,10,305.008,305.011,304.998,304.985,305.062,306.457,314.694,
0.334766,15,305.008,305.011,304.998,304.985,305.062,306.458,314.698,
0.334766,20,305.008,305.011,304.998,304.985,305.062,306.458,314.698,
0.334766,25,305.008,305.011,304.998,304.985,305.062,306.458,314.698,
0.334766,30,305.008,305.011,304.998,304.985,305.062,306.458,314.698,
0.334766,35,305.008,305.011,304.998,304.985,305.062,306.458,314.698,
0.334766,40,305.008,305.011,304.998,304.985,305.062,306.458,314.698,
0.334766,45,305.008,305.011,304.998,304.985,305.062,306.458,314.698,
0.334766,50,305.008,305.011,304.998,304.985,305.062,306.458,314.698,
0.334766,55,305.008,305.011,304.998,304.985,305.062,306.458,314.698,
0.334766,60,305.008,305.011,304.998,304.985,305.062,306.458,314.698,
0.334766,65,305.008,305.011,304.998,304.985,305.062,306.458,314.698,
0.334766,70,305.008,305.011,304.998,304.985,305.062,306.458,314.698,
0.334766,75,305.008,305.011,304.998,304.985,305.062,306.458,314.698,
0.334766,80,305.008,305.011,304.998,304.985,305.062,306.458,314.698,
0.334766,85,305.008,305.011,304.998,304.985,305.062,306.458,314.698,
0.334766,90,305.008,305.011,304.998,304.985,305.062,306.458,314.698,
0.334766,95,305.008,305.011,304.998,304.985,305.062,306.458,314.698,
0.334766,100,305.008,305.011,304.998,304.985,305.062,306.458,314.698,

t_Vr-->,z_V,0,1,2,3,4,5,6
0.426463,5,0.000817562,0.000817562,0.000817562,0.000817562,0.000817561,0.000817561,0.00081756,
0.426463,10,3.43704e-05,3.43704e-05,3.43704e-05,3.43704e-05,3.43704e-05,3.43704e-05,3.43704e-05,
0.426463,15,9.70197e-07,9.70197e-07,9.70197e-07,9.70197e-07,9.70197e-07,9.70197e-07,9.70196e-07,
0.426463,20,2.05988e-08,2.05988e-08,2.05988e-08,2.05988e-08,2.05988e-08,2.05988e-08,2.05988e-08,
0.426463,25,3.50378e-10,3.50378e-10,3.50378e-10,3.50378e-10,3.50378e-10,3.50378e-10,3.50378e-10,
0.426463,30,4.97075e-12,4.97075e-12,4.97075e-12,4.97075e-12,4.97075e-12,4.97075e-12,4.97075e-12,
0.426463,35,6.04824e-14,6.04824e-14,6.04824e-14,6.04824e-14,6.04824e-14,6.04824e-14,6.04824e-14,
0.426463,40,6.44253e-16,6.44253e-16,6.44253e-16,6.44253e-16,6.44253e-16,6.44253e-16,6.44253e-16,
0.426463,45,6.10188e-18,6.10188e-18,6.10188e-18,6.10188e-18,6.10188e-18,6.10188e-18,6.10188e-18,
0.426463,50,5.20117e-20,5.20117e-20,5.20117e-20,5.20117e-20,5.20117e-20,5.20117e-20,5.20117e-20,
